pacc,rt,accumulator
10,0.26539999999999997,1
11,0.1879,1
12,0.2414,1
13,0.2521,1
14,0.281,1
15,0.5203,2
16,0.5477000000000001,1
17,0.5018,1
18,0.4642,1
19,0.3137,2
20,0.2925,1
21,0.4118,1
22,0.4632,2
23,0.6223,1
24,0.4096,1
24,0.31889999999999996,2
24,0.6327999999999999,1
24,0.6477,2
24,0.5078,1
24,0.516,1
24,0.4011,1
24,0.5127999999999999,1
24,0.5556,1
23,0.4308,1
22,0.5992999999999999,2
21,0.548,1
20,0.5284,1
19,0.5541,2
18,0.29419999999999996,1
17,0.357,1
16,0.7058,1
15,0.5323,1
14,0.3623,1
13,0.2726,2
12,0.7403,2
11,0.42119999999999996,1
10,0.3742,1
9,0.2087,2
8,0.1906,1
7,0.17,1
6,0.1745,2
5,0.1775,1
