pacc,rt,accumulator
16,0.44010000000000005,1
17,0.8675,1
18,0.4447,2
19,0.4985,1
20,0.4541,1
21,0.981,1
23,0.9811,1
24,0.7316,1
23,0.6927000000000001,1
22,0.9072,2
21,0.4899,1
20,0.949,1
19,0.4581,1
18,0.5357000000000001,1
17,0.5893999999999999,1
16,0.42469999999999997,1
15,0.48819999999999997,1
14,0.428,1
13,0.4795,1
12,0.7707,1
11,0.4873,1
10,0.656,1
9,0.4763,1
8,0.6789,1
7,0.2763,1
6,0.44110000000000005,1
5,0.48660000000000003,1
4,0.2696,2
3,0.18980000000000002,1
2,0.18630000000000002,1
1,0.219,2
0,0.1894,1
