pacc,rt,accumulator
14,0.4328,1
13,0.4963,1
12,0.4799,1
11,0.1731,1
10,0.36819999999999997,2
9,0.1802,2
8,0.18930000000000002,2
7,0.1653,1
5,0.3399,1
4,0.1945,2
3,0.32589999999999997,1
2,0.1699,2
1,0.19319999999999998,2
0,0.2214,2
0,0.225,1
0,0.1712,2
